"Statistic Label","Quarter","Domestic","Reason for Journey","UNIT","VALUE"
"Number of Trips by Irish Residents","2004Q3","Domestic","Visiting friends/relatives","Thousand","559"
"Number of Trips by Irish Residents","2004Q3","Domestic","Other reasons","Thousand","241"
"Number of Trips by Irish Residents","2004Q3","Outbound","All reasons for journey","Thousand","1751"
"Number of Trips by Irish Residents","2004Q3","Outbound","Holiday","Thousand","1275"
"Number of Trips by Irish Residents","2004Q3","Outbound","Business","Thousand","163"
"Number of Trips by Irish Residents","2004Q3","Outbound","Visiting friends/relatives","Thousand","224"
"Number of Trips by Irish Residents","2004Q3","Outbound","Other reasons","Thousand","89"
"Number of Trips by Irish Residents","2004Q4","Domestic","All reasons for journey","Thousand","1715"
"Number of Trips by Irish Residents","2004Q4","Domestic","Holiday","Thousand","608"
"Number of Trips by Irish Residents","2004Q4","Domestic","Business","Thousand","149"
"Number of Trips by Irish Residents","2004Q4","Domestic","Visiting friends/relatives","Thousand","729"
"Number of Trips by Irish Residents","2004Q4","Domestic","Other reasons","Thousand","229"
"Number of Trips by Irish Residents","2004Q4","Outbound","All reasons for journey","Thousand","1220"
"Number of Trips by Irish Residents","2004Q4","Outbound","Holiday","Thousand","662"
"Number of Trips by Irish Residents","2004Q4","Outbound","Business","Thousand","171"
"Number of Trips by Irish Residents","2004Q4","Outbound","Visiting friends/relatives","Thousand","304"
"Number of Trips by Irish Residents","2004Q4","Outbound","Other reasons","Thousand","83"
"Number of Trips by Irish Residents","2005Q1","Domestic","All reasons for journey","Thousand","1490"
"Number of Trips by Irish Residents","2005Q1","Domestic","Holiday","Thousand","575"
"Number of Trips by Irish Residents","2005Q1","Domestic","Business","Thousand","191"
"Number of Trips by Irish Residents","2005Q1","Domestic","Visiting friends/relatives","Thousand","560"
"Number of Trips by Irish Residents","2005Q1","Domestic","Other reasons","Thousand","165"
"Number of Trips by Irish Residents","2005Q1","Outbound","All reasons for journey","Thousand","1212"
"Number of Trips by Irish Residents","2005Q1","Outbound","Holiday","Thousand","716"
"Number of Trips by Irish Residents","2005Q1","Outbound","Business","Thousand","180"
"Number of Trips by Irish Residents","2005Q1","Outbound","Visiting friends/relatives","Thousand","227"
"Number of Trips by Irish Residents","2005Q1","Outbound","Other reasons","Thousand","90"
"Number of Trips by Irish Residents","2005Q2","Domestic","All reasons for journey","Thousand","1705"
"Number of Trips by Irish Residents","2005Q2","Domestic","Holiday","Thousand","781"
"Number of Trips by Irish Residents","2005Q2","Domestic","Business","Thousand","196"
"Number of Trips by Irish Residents","2005Q2","Domestic","Visiting friends/relatives","Thousand","497"
"Number of Trips by Irish Residents","2005Q2","Domestic","Other reasons","Thousand","231"
"Number of Trips by Irish Residents","2005Q2","Outbound","All reasons for journey","Thousand","1661"
"Number of Trips by Irish Residents","2005Q2","Outbound","Holiday","Thousand","1074"
"Number of Trips by Irish Residents","2005Q2","Outbound","Business","Thousand","218"
"Number of Trips by Irish Residents","2005Q2","Outbound","Visiting friends/relatives","Thousand","252"
"Number of Trips by Irish Residents","2005Q2","Outbound","Other reasons","Thousand","117"
"Number of Trips by Irish Residents","2005Q3","Domestic","All reasons for journey","Thousand","2300"
"Number of Trips by Irish Residents","2005Q3","Domestic","Holiday","Thousand","1332"
"Number of Trips by Irish Residents","2005Q3","Domestic","Business","Thousand","145"
"Number of Trips by Irish Residents","2005Q3","Domestic","Visiting friends/relatives","Thousand","551"
